Designator,Mid X,Mid Y,Rotation,Layer
_8675,164.130165,-122.28,90.0,bottom
_8674,164.530165,-122.28,0.0,top
_8673,163.870165,-122.28,0.0,top
_8672,164.530165,-122.28,90.0,bottom
_8671,163.930165,-122.28,0.0,top
_8670,163.930165,-122.28,0.0,top
_8669,164.130165,-122.28,90.0,bottom
_8668,163.870165,-122.28,90.0,bottom
_8667,164.530165,-122.28,0.0,top
_8666,165.410165,-122.28,90.0,bottom
_8665,165.610165,-122.28,0.0,top
_8664,165.610165,-122.28,0.0,top
_8663,164.130165,-122.28,0.0,top
_8662,164.530165,-122.28,0.0,top
_8661,165.350165,-122.28,0.0,top
_8660,165.610165,-122.28,90.0,bottom
_8659,165.610165,-122.28,0.0,top
_8658,165.350165,-122.28,0.0,top
_8657,165.350165,-122.28,0.0,top
_8656,165.350165,-122.28,0.0,top
_8655,165.150165,-122.28,0.0,top
_8654,165.350165,-122.28,0.0,top
_8653,165.610165,-122.28,0.0,top
_8652,164.950165,-122.28,90.0,bottom
_8651,165.150165,-122.28,0.0,top
_8650,165.150165,-122.28,90.0,bottom
_8649,165.150165,-122.28,0.0,top
_8648,164.950165,-122.28,0.0,top
_8647,165.150165,-122.28,90.0,bottom
_8646,165.150165,-122.28,0.0,top
_8645,165.350165,-122.28,0.0,top
_8644,165.150165,-122.28,90.0,bottom
_8643,164.950165,-122.28,0.0,top
_8642,165.150165,-122.28,0.0,top
_8641,165.150165,-122.28,0.0,top
_8640,165.150165,-122.28,0.0,top
_8639,164.950165,-122.28,0.0,top
_8638,165.150165,-122.28,0.0,top
_8637,164.950165,-122.28,0.0,top
_8636,164.950165,-122.28,0.0,top
_8635,165.150165,-122.28,0.0,top
_8634,165.150165,-122.28,0.0,top
_8633,165.150165,-122.28,0.0,top
_8632,164.950165,-122.28,0.0,top
_8631,165.150165,-122.28,0.0,top
_8630,165.150165,-122.28,0.0,top
_8629,165.150165,-122.28,0.0,top
_8628,181.230165,-122.28,0.0,top
_8627,180.770165,-122.28,0.0,top
_8626,181.230165,-122.28,90.0,bottom
_8625,181.430165,-122.28,0.0,top
_8624,176.870165,-122.28,0.0,top
_8623,176.870165,-122.28,90.0,bottom
_8622,176.670165,-122.28,0.0,top
_8621,177.070165,-122.28,0.0,top
_8620,176.870165,-122.28,0.0,top
_8619,176.870165,-122.28,0.0,top
_8618,181.030165,-122.28,0.0,top
_8617,181.430165,-122.28,90.0,bottom
_8616,177.070165,-122.28,0.0,top
_8615,176.870165,-122.28,0.0,top
_8614,176.610165,-122.28,90.0,bottom
_8613,166.550165,-122.28,90.0,bottom
_8612,166.350165,-122.28,0.0,top
_8611,166.550165,-122.28,0.0,top
_8610,166.550165,-122.28,0.0,top
_8609,166.750165,-122.28,0.0,top
_8608,166.550165,-122.28,90.0,bottom
_8607,166.350165,-122.28,0.0,top
_8606,166.550165,-122.28,0.0,top
_8605,166.550165,-122.28,0.0,top
_8604,166.750165,-122.28,0.0,top
_8603,166.550165,-122.28,0.0,top
_8602,166.550165,-122.28,0.0,top
_8601,166.550165,-122.28,0.0,top
_8600,166.550165,-122.28,0.0,top
_8599,166.550165,-122.28,0.0,top
_8598,168.570165,-122.28,0.0,top
_8597,166.750165,-122.28,0.0,top
_8596,168.570165,-122.28,0.0,top
_8595,166.550165,-122.28,0.0,top
_8594,166.550165,-122.28,0.0,top
_8593,168.570165,-122.28,90.0,bottom
_8592,168.370165,-122.28,90.0,bottom
_8591,166.350165,-122.28,0.0,top
_8590,169.770165,-122.28,0.0,top
_8589,169.770165,-122.28,0.0,top
_8588,169.770165,-122.28,0.0,top
_8587,168.370165,-122.28,0.0,top
_8586,168.770165,-122.28,0.0,top
_8585,168.570165,-122.28,0.0,top
_8584,168.570165,-122.28,90.0,bottom
_8583,168.570165,-122.28,0.0,top
_8582,169.770165,-122.28,0.0,top
